	median_Reporter intensity 1	median_Reporter intensity 2	median_Reporter intensity 3	median_Reporter intensity 4	median_Reporter intensity 5	median_Reporter intensity 6	median_Reporter intensity 7	median_Reporter intensity 8	median_Reporter intensity 9
Tb927.11.10340	0.110056052	0.107663006	0.110496507	0.111382525	0.110640692	0.110160473	0.113775261	0.109508406	0.112883392
Tb927.11.10350	0.118323143	0.116606433	0.114826337	0.108300321	0.113342419	0.105078339	0.11273309	0.104469553	0.111928847
Tb927.11.10370	0.105712379	0.105807342	0.111776314	0.111321963	0.113990765	0.113034236	0.111579869	0.11422317	0.114200085
Tb927.11.10380	0.108359878	0.11864285	0.115087515	0.108163288	0.113121591	0.109506575	0.109828693	0.109997318	0.110380809
Tb927.11.10390	0.104847577	0.097791149	0.106446698	0.112510853	0.111694619	0.117067622	0.125264461	0.104389479	0.119987541
Tb927.11.1040	0.118012216	0.116835814	0.113772839	0.112778978	0.113806326	0.111117144	0.101162396	0.108733947	0.101166365
Tb927.11.10420	0.09574648	0.109287264	0.112668859	0.113761465	0.112760312	0.114278867	0.116153358	0.111236785	0.113499283
Tb927.11.10430	0.106545017	0.108920308	0.108979655	0.110268327	0.109798718	0.113026002	0.113051465	0.113621565	0.113480866
Tb927.11.10450	0.130414741	0.108928348	0.128142601	0.109357843	0.097317119	0.101199755	0.090451794	0.094229685	0.139958143
Tb927.11.10460	0.103629574	0.11110382	0.112895885	0.112390967	0.113927109	0.110897234	0.108063755	0.113628617	0.112320095
Tb927.11.10480	0.098872828	0.115488456	0.111556343	0.113745372	0.110142931	0.114439599	0.113621917	0.113823604	0.11181829
Tb927.11.1050	0.102303862	0.107213118	0.10728337	0.111718212	0.110949026	0.113655438	0.116655998	0.114581632	0.113162674
Tb927.11.10510	0.115463078	0.113935355	0.11157212	0.111767675	0.110912547	0.108969177	0.110206726	0.10788969	0.109280686
Tb927.11.10520	0.089535575	0.094613773	0.107384659	0.114072412	0.119390587	0.122175587	0.123299661	0.118068031	0.112073995
Tb927.11.10540	0.107482075	0.108388757	0.10475385	0.111002134	0.108009871	0.113684845	0.114854741	0.115654479	0.114820365
Tb927.11.10550	0.109844408	0.109656829	0.102213512	0.107916874	0.107318668	0.111221526	0.115612112	0.114399585	0.121816479
Tb927.11.10560	0.113943724	0.113689271	0.114535088	0.109651994	0.111419091	0.110120071	0.10851711	0.108522925	0.105817957
Tb927.11.10570	0.115459096	0.115045511	0.114296681	0.109941243	0.111306169	0.108433778	0.107964486	0.10737488	0.109922368
Tb927.11.10580	0.114179826	0.109334754	0.109589437	0.109373209	0.109796651	0.110507997	0.11394058	0.111513728	0.111677908
Tb927.11.10590	0.122503645	0.113100176	0.110222193	0.107200855	0.114240597	0.111194045	0.110509995	0.111938049	0.104337288
Tb927.11.1060	0.084179443	0.075750746	0.086768882	0.109339677	0.110946121	0.123137098	0.131656363	0.136644242	0.130694156
Tb927.11.10600	0.107343369	0.117388945	0.133679592	0.115379742	0.120654616	0.119739808	0.085759737	0.114677421	0.085376779
Tb927.11.10620	0.101265261	0.100815239	0.098704002	0.104343857	0.110481789	0.117791818	0.113469037	0.120452591	0.131183811
Tb927.11.10630	0.121733566	0.117690518	0.118932867	0.108865911	0.108540767	0.103679383	0.103483842	0.109121934	0.109390854
Tb927.11.10640	0.113375247	0.114114604	0.111851502	0.111162355	0.10984295	0.109819856	0.108867845	0.108703599	0.111483858
Tb927.11.10650	0.12059991	0.112717747	0.110621272	0.109788704	0.112671369	0.1077151	0.108944369	0.106465374	0.109067935
Tb927.11.10660;Tb11.v5.0377;Tb11.v5.0762;Tb11.v5.0378	0.095994963	0.110962992	0.115714487	0.119679501	0.113687133	0.114070915	0.11272892	0.108172975	0.109673871
Tb927.11.10670	0.115336024	0.112409779	0.110773875	0.111173807	0.108494242	0.10799718	0.109778527	0.111734826	0.113301569
Tb927.11.10690	0.11675112	0.11366245	0.11354324	0.111166949	0.111536829	0.108176802	0.109171618	0.108860595	0.108839373
Tb927.11.1070	0.123310703	0.113894656	0.112692605	0.109425039	0.109892364	0.105667715	0.10799466	0.109206521	0.105626974
Tb927.11.10700	0.113573004	0.097691716	0.10888233	0.109788529	0.109708964	0.114087708	0.114090451	0.118026999	0.115493838
Tb927.11.10710	0.125654782	0.117250575	0.115612287	0.109295972	0.112157282	0.108679975	0.102667037	0.109162538	0.104667729
Tb927.11.10720	0.114951301	0.113445139	0.113538077	0.111807031	0.110425167	0.107688021	0.108407832	0.109613066	0.107481216
Tb927.11.10730	0.116597526	0.114604182	0.112392197	0.110622375	0.109563537	0.108671578	0.108249666	0.110543961	0.108719268
Tb927.11.10740	0.112643216	0.116390524	0.114629447	0.111014334	0.11140622	0.109143032	0.105413437	0.110547988	0.107270722
Tb927.11.10750	0.12251486	0.115423373	0.118929532	0.106166627	0.11212601	0.105797727	0.103922202	0.105935992	0.101691246
Tb927.11.10760	0.118322907	0.112824385	0.109616605	0.108572833	0.107588148	0.110820802	0.110300615	0.109601265	0.110878511
Tb927.11.10770	0.114047847	0.112974581	0.111427185	0.109060237	0.108756507	0.110987088	0.111168076	0.109604404	0.112187171
Tb927.11.10780	0.127276808	0.115545649	0.116184433	0.110434849	0.110954936	0.107826496	0.105005682	0.105412191	0.104920729
Tb927.11.1080	0.116063977	0.107638729	0.111128173	0.115996003	0.113349893	0.10689341	0.109663532	0.107702292	0.109337848
